"","state","date","State_abbrev","stateFIPS","pos_test","neg_test","test","population","median.age","Black.perc","Hispanic.or.Latino.perc","area","HS_perc","college_perc","Associate_perc","Bachelor_perc","Gradprof_perc","HS_orhigher_perc","Bachelor_orhigher_perc","poverty_perc","density","q_popdensity","q_poverty","mean_winter_temp","mean_summer_temp","mean_winter_rm","mean_summer_rm","retail_and_recreation","grocery_and_pharmacy","parks","transit","workplaces","residential"
"43","Alabama",2020-04-18,"AL",1,125,4565,4690,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-33,-5,12,-26,-24,9
"44","Alabama",2020-04-19,"AL",1,182,2992,3174,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-45,-24,-44,-45,-37,12
"45","Alabama",2020-04-20,"AL",1,188,0,188,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-23,-6,13,-25,-39,14
"46","Alabama",2020-04-21,"AL",1,206,2420,2626,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-23,-4,18,-23,-38,15
"47","Alabama",2020-04-22,"AL",1,234,0,234,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-23,-3,13,-22,-40,15
"48","Alabama",2020-04-23,"AL",1,313,3568,3881,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-35,-13,-31,-33,-42,20
"49","Alabama",2020-04-24,"AL",1,54,0,54,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-26,-4,22,-26,-39,16
"50","Alabama",2020-04-25,"AL",1,305,18344,18649,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-31,-3,17,-23,-23,9
"51","Alabama",2020-04-26,"AL",1,133,2074,2207,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-30,-7,15,-29,-31,8
"52","Alaska",2020-03-06,"AK",2,0,8,8,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,9,4,10,9,0,1
"53","Alaska",2020-03-07,"AK",2,0,4,4,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,12,10,17,9,3,-1
"54","Alaska",2020-03-08,"AK",2,0,2,2,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,13,8,34,9,2,-1
