"","X","state","Type","Start.Date","End.Date","date","stayathome"
"Alabama.1.93",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-06-02,0
"Alabama.1.94",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-06-03,0
"Alabama.1.95",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-06-04,0
"Alabama.1.96",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-06-05,0
"Alabama.1.97",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-06-06,0
"Alabama.1.98",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-06-07,0
"Alabama.1.99",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-06-08,0
"Alabama.1.100",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-06-09,0
"Alabama.1.101",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-06-10,0
"Alaska.2",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-01,0
"Alaska.2.1",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-02,0
"Alaska.2.2",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-03,0
"Alaska.2.3",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-04,0
"Alaska.2.4",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-05,0
"Alaska.2.5",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-06,0
"Alaska.2.6",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-07,0
"Alaska.2.7",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-08,0
"Alaska.2.8",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-09,0
"Alaska.2.9",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-10,0
"Alaska.2.10",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-11,0
"Alaska.2.11",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-12,0
"Alaska.2.12",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-13,0
"Alaska.2.13",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-14,0
"Alaska.2.14",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-15,0
"Alaska.2.15",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-16,0
"Alaska.2.16",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-17,0
"Alaska.2.17",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-18,0
"Alaska.2.18",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-19,0
