"","week","date","state","residential","work","retail_rec","grocery_pharmacy","parks","transit"
"356",12,2020-03-17,"Missouri",10.4285714285714,-24.5714285714286,-25.8571428571429,11.4285714285714,5.14285714285714,-19.4285714285714
"357",13,2020-03-24,"Missouri",14.8571428571429,-37.8571428571429,-39,-11.1428571428571,42.8571428571429,-31
"358",14,2020-03-31,"Missouri",15.5714285714286,-40.7142857142857,-38.1428571428571,-4.71428571428571,18.1428571428571,-33.5714285714286
"359",15,2020-04-07,"Missouri",15.8571428571429,-44,-41.4285714285714,-11.5714285714286,20,-35.7142857142857
"360",16,2020-04-14,"Missouri",14.7142857142857,-39.2857142857143,-31.8571428571429,-8.42857142857143,23.4285714285714,-30.7142857142857
"361",17,2020-04-21,"Missouri",14.1428571428571,-38.7142857142857,-29.7142857142857,-6.14285714285714,40.4285714285714,-28.2857142857143
"362",18,2020-04-28,"Missouri",11.2857142857143,-36.4285714285714,-22.7142857142857,0,56.7142857142857,-22.4285714285714
"363",19,2020-05-05,"Missouri",10.2857142857143,-32.7142857142857,-15,7.85714285714286,49.1428571428571,-20.2857142857143
"364",20,2020-05-12,"Missouri",11.25,-30.75,-16.5,1,31.75,-20
"365",7,2020-02-11,"Montana",1.66666666666667,-8,6.33333333333333,1.66666666666667,0.333333333333333,2.66666666666667
"366",8,2020-02-18,"Montana",-0.428571428571429,2.14285714285714,4,1.85714285714286,-0.285714285714286,4.14285714285714
"367",9,2020-02-25,"Montana",-1,2.28571428571429,11,5.14285714285714,4.42857142857143,8.42857142857143
"368",10,2020-03-03,"Montana",-0.714285714285714,1.85714285714286,9.85714285714286,8,10.5714285714286,9.28571428571429
"369",11,2020-03-10,"Montana",1.85714285714286,-4.14285714285714,-1,14.8571428571429,-6.28571428571429,2.57142857142857
"370",12,2020-03-17,"Montana",9.42857142857143,-27.2857142857143,-31.4285714285714,2.57142857142857,23.2857142857143,-14
"371",13,2020-03-24,"Montana",13.2857142857143,-36.4285714285714,-41.7142857142857,-10.5714285714286,13.5714285714286,-30.1428571428571
"372",14,2020-03-31,"Montana",15.2857142857143,-40.5714285714286,-44.5714285714286,-14.4285714285714,1.28571428571429,-37.5714285714286
"373",15,2020-04-07,"Montana",14.4285714285714,-42.2857142857143,-44,-13.1428571428571,21.4285714285714,-38.2857142857143
"374",16,2020-04-14,"Montana",12.8571428571429,-36.8571428571429,-35.8571428571429,-6.85714285714286,28.5714285714286,-29.8571428571429
"375",17,2020-04-21,"Montana",11,-34.8571428571429,-31.8571428571429,-0.142857142857143,49.8571428571429,-24.7142857142857
"376",18,2020-04-28,"Montana",7.57142857142857,-30.5714285714286,-20.4285714285714,9.28571428571429,70,-17.8571428571429
