"","state","date","week","pos_test","neg_test","test","residential","work","retail_rec","grocery_pharmacy","parks","transit"
"165","Indiana",2020-05-13,20,3578,35242,38820,14,-37,-15.0909090909091,0.636363636363636,66.0909090909091,-17.3636363636364
"166","Iowa",2020-03-04,10,8,32,40,-1.175,3.5,7.55,17,44.225,-1.175
"167","Iowa",2020-03-11,11,15,51,66,1.25,-2.6875,0.458333333333333,28,20.3333333333333,-3.5625
"168","Iowa",2020-03-18,12,101,2232,2333,12.8510638297872,-29.7021276595745,-38.7234042553191,6.80851063829787,7.91489361702128,-20.4893617021277
"169","Iowa",2020-03-25,13,373,4573,4946,15.974358974359,-37.3333333333333,-44.3846153846154,-7.41025641025641,43.5641025641026,-30.6153846153846
"170","Iowa",2020-04-01,14,551,4782,5333,16.75,-41.075,-42.275,-0.975,54.375,-31.8
"171","Iowa",2020-04-08,15,851,5316,6167,17.047619047619,-44.4523809523809,-48.0476190476191,-9.33333333333333,29.8095238095238,-33.8333333333333
"172","Iowa",2020-04-15,16,1742,6988,8730,17.4186046511628,-41.6279069767442,-39.2558139534884,-2.18604651162791,42.2558139534884,-32.1627906976744
"173","Iowa",2020-04-22,17,2735,9473,12208,15.9428571428571,-41.2857142857143,-34.4571428571429,3.2,90.1714285714286,-27.7142857142857
"174","Iowa",2020-04-29,18,3735,17011,20746,14.09375,-40.8125,-30.46875,8,90.21875,-22.46875
"175","Iowa",2020-05-06,19,2801,17918,20719,14.6060606060606,-38.1818181818182,-28.5757575757576,15.969696969697,63.6666666666667,-21.2424242424242
"176","Iowa",2020-05-13,20,2437,23923,26360,16.4285714285714,-41.8571428571429,-26.4285714285714,12.8571428571429,89.8571428571429,-16.8571428571429
"177","Kansas",2020-03-04,10,1,17,18,-1.72972972972973,4.08108108108108,11.1891891891892,7.2972972972973,63.4324324324324,17.8918918918919
"178","Kansas",2020-03-11,11,14,365,379,2.0952380952381,-6.40476190476191,1.0952380952381,17.8809523809524,27.7380952380952,5.26190476190476
"179","Kansas",2020-03-18,12,83,1704,1787,11.5121951219512,-28,-28.0243902439024,13.2439024390244,33.390243902439,-11.4390243902439
"180","Kansas",2020-03-25,13,330,2910,3240,16.775,-41.45,-42.475,-15.625,64.4,-19.925
"181","Kansas",2020-04-01,14,472,3618,4090,17.5609756097561,-44.8048780487805,-42.5365853658537,-13.4146341463415,40.0731707317073,-21.4878048780488
"182","Kansas",2020-04-08,15,526,4107,4633,17.0277777777778,-46.1388888888889,-40.7777777777778,-13.5,57.1388888888889,-16.1388888888889
"183","Kansas",2020-04-15,16,599,4355,4954,15.1111111111111,-39.5925925925926,-32.1111111111111,-10.9259259259259,42.6296296296296,-18.4814814814815
"184","Kansas",2020-04-22,17,1466,7523,8989,14.1153846153846,-38.7307692307692,-28.9615384615385,-6.61538461538461,63.0384615384615,-15.0769230769231
"185","Kansas",2020-04-29,18,1967,10035,12002,11.4230769230769,-36.8461538461538,-22,-1.23076923076923,79.4230769230769,-6.76923076923077
"186","Kansas",2020-05-06,19,1658,12359,14017,10.8518518518519,-32.8148148148148,-18.4814814814815,5.51851851851852,59.962962962963,-4.48148148148148
"187","Kansas",2020-05-13,20,1224,11657,12881,13.75,-37.25,-19.625,1.25,19.5,-12.125
"188","Kentucky",2020-03-04,10,6,28,34,-0.861111111111111,1.91666666666667,10.1388888888889,12.6111111111111,50.3611111111111,5.38888888888889
"189","Kentucky",2020-03-11,11,16,267,283,2.63414634146341,-4.51219512195122,-1.75609756097561,19.390243902439,14.5609756097561,-3.90243902439024
"190","Kentucky",2020-03-18,12,102,1467,1569,11.825,-28.025,-31.225,5.675,19.975,-20.75
"191","Kentucky",2020-03-25,13,356,4568,4924,15.5555555555556,-40.6666666666667,-38.3333333333333,-8.97222222222222,51.9722222222222,-27.75
"192","Kentucky",2020-04-01,14,528,12617,13145,16.9444444444444,-45.3611111111111,-37.6388888888889,-5.05555555555556,36.1111111111111,-30.3611111111111
"193","Kentucky",2020-04-08,15,1040,5688,6728,17.7179487179487,-47.8717948717949,-42.1282051282051,-10.2564102564103,17.0769230769231,-37.3076923076923
"194","Kentucky",2020-04-15,16,1002,5135,6137,17.1904761904762,-43.9523809523809,-33.8571428571429,-9.47619047619048,21.5714285714286,-34.9523809523809
"195","Kentucky",2020-04-22,17,1096,14883,15979,16.4444444444444,-43.8611111111111,-33.1111111111111,-7.80555555555556,24.6944444444444,-31.7777777777778
"196","Kentucky",2020-04-29,18,1099,10149,11248,14.3823529411765,-42.0882352941176,-26.2352941176471,-0.264705882352941,45.8235294117647,-28.0294117647059
"197","Kentucky",2020-05-06,19,1432,42545,43977,14.7428571428571,-39.7428571428571,-25.8,2.05714285714286,30.6857142857143,-26.2857142857143
"198","Kentucky",2020-05-13,20,1392,48570,49962,15.8,-41.5,-22.6,3.2,35,-25.2
"199","Louisiana",2020-03-04,10,1,11,12,-0.901408450704225,2.46478873239437,10.6056338028169,8.30985915492958,21.8732394366197,6.90140845070423
"200","Louisiana",2020-03-11,11,136,275,411,1.13888888888889,-1.94444444444444,2.77777777777778,21.5555555555556,18.3611111111111,-0.680555555555556
"201","Louisiana",2020-03-18,12,1251,6929,8180,12.4444444444444,-27.7777777777778,-33.6172839506173,4.90123456790123,-15.1358024691358,-27.1234567901235
"202","Louisiana",2020-03-25,13,3849,26515,30364,17.1511627906977,-40.906976744186,-43.593023255814,-15.3023255813953,-19.0813953488372,-36.7558139534884
"203","Louisiana",2020-04-01,14,11047,24641,35688,17.5903614457831,-42.9518072289157,-41.8313253012048,-9.21686746987952,-21.2048192771084,-41.2650602409639
"204","Louisiana",2020-04-08,15,5234,38533,43767,17.7738095238095,-46.2619047619048,-45.5,-13.5238095238095,-22.3690476190476,-44.3214285714286
"205","Louisiana",2020-04-15,16,3336,14684,18020,16.2790697674419,-40.5348837209302,-36.6511627906977,-10.9302325581395,-20.2325581395349,-37.7093023255814
"206","Louisiana",2020-04-22,17,2432,12234,14666,15.2926829268293,-39.280487804878,-32.3658536585366,-7.60975609756098,-9.0609756097561,-34.0853658536585
"207","Louisiana",2020-04-29,18,2710,34413,37123,12.9620253164557,-37.1139240506329,-27.5316455696203,-2.49367088607595,-6.84810126582278,-30.379746835443
"208","Louisiana",2020-05-06,19,2054,37727,39781,12.7236842105263,-34.8947368421053,-25.5789473684211,3.48684210526316,-5.36842105263158,-27.9473684210526
"209","Louisiana",2020-05-13,20,2988,47073,50061,13.8,-37.7,-21.1,-0.35,4.7,-24.55
"210","Maine",2020-03-04,10,0,20,20,-0.606060606060606,2.81818181818182,11.7575757575758,5.87878787878788,31.4242424242424,15.1212121212121
"211","Maine",2020-03-11,11,32,1283,1315,2.17647058823529,-1.85294117647059,2.41176470588235,19.9117647058824,21.1470588235294,0.941176470588235
"212","Maine",2020-03-18,12,93,1711,1804,13.0294117647059,-30.0588235294118,-34.5588235294118,-1.41176470588235,14.5588235294118,-27.4411764705882
"213","Maine",2020-03-25,13,178,3074,3252,16.6,-40.0857142857143,-45.0857142857143,-16.8285714285714,8.62857142857143,-45.4571428571429
"214","Maine",2020-04-01,14,216,0,216,17.8,-43.6285714285714,-47.4,-18.1142857142857,-0.171428571428571,-51.9142857142857
"215","Maine",2020-04-08,15,215,5520,5735,16.7714285714286,-47.4,-50.0285714285714,-23,-5.37142857142857,-51.7142857142857
"216","Maine",2020-04-15,16,154,2468,2622,16.4117647058824,-43,-37.9411764705882,-15,24.8529411764706,-47.9117647058824
"217","Maine",2020-04-22,17,152,2708,2860,16.0571428571429,-41.3714285714286,-39.0285714285714,-15.7428571428571,19.1714285714286,-47.1428571428571
"218","Maine",2020-04-29,18,186,2762,2948,13.7058823529412,-39.0294117647059,-31.7647058823529,-9.17647058823529,39.0588235294118,-40.3235294117647
"219","Maine",2020-05-06,19,251,2546,2797,13.3529411764706,-36.2647058823529,-28.7058823529412,-4.73529411764706,38.9117647058824,-37.7058823529412
"220","Maine",2020-05-13,20,264,0,264,14.6,-39.7,-24.8,-3.4,58.5,-32.2
"221","Maryland",2020-03-04,10,6,89,95,-0.615384615384615,2.75641025641026,5.79487179487179,3.57692307692308,49.3846153846154,3.23076923076923
"222","Maryland",2020-03-11,11,51,5,56,3.15189873417722,-5.73417721518987,-0.822784810126582,10.8354430379747,38.873417721519,-6.88607594936709
"223","Maryland",2020-03-18,12,292,0,292,15.3571428571429,-35.6309523809524,-29.9880952380952,-4.94047619047619,34.6309523809524,-33.3571428571429
"224","Maryland",2020-03-25,13,1311,14774,16085,19.8072289156627,-46.1686746987952,-40.2650602409639,-19.9156626506024,20.6144578313253,-44.8795180722892
"225","Maryland",2020-04-01,14,2711,12388,15099,21.8588235294118,-50.5529411764706,-44.6823529411765,-25.0235294117647,8.21176470588235,-47.6705882352941
"226","Maryland",2020-04-08,15,5101,17005,22106,22.6987951807229,-53.2771084337349,-45.2289156626506,-24.5180722891566,7.63855421686747,-51.0120481927711
"227","Maryland",2020-04-15,16,4721,15181,19902,21.8,-50.6133333333333,-39.8533333333333,-20.8,11.8,-49.8133333333333
"228","Maryland",2020-04-22,17,5920,28230,34150,22.0769230769231,-50.7307692307692,-40.5897435897436,-21.974358974359,1.42307692307692,-49.0384615384615
"229","Maryland",2020-04-29,18,7004,25314,32318,20.2112676056338,-49.6760563380282,-36.6901408450704,-18.1408450704225,32.5915492957746,-45.2253521126761
"230","Maryland",2020-05-06,19,6944,22456,29400,19.5866666666667,-46.5333333333333,-34.44,-14.3733333333333,24.3066666666667,-44.6133333333333
"231","Maryland",2020-05-13,20,7485,31670,39155,20.5263157894737,-50.3684210526316,-31,-12.7368421052632,67.6315789473684,-43.2105263157895
"232","Massachusetts",2020-03-11,11,110,1633,1743,4.09210526315789,-7.32894736842105,-2.30263157894737,18.1315789473684,28.1973684210526,-12.6973684210526
"233","Massachusetts",2020-03-18,12,942,11081,12023,16.3289473684211,-37.7631578947368,-36.6052631578947,-2.46052631578947,21.2105263157895,-43.9868421052632
"234","Massachusetts",2020-03-25,13,5461,27726,33187,21.0933333333333,-49.7066666666667,-49.6533333333333,-22.3466666666667,19.2533333333333,-57.7466666666667
"235","Massachusetts",2020-04-01,14,8583,25830,34413,21.9324324324324,-52.1216216216216,-48.5,-18.6891891891892,15.7162162162162,-57.4864864864865
"236","Massachusetts",2020-04-08,15,13005,32550,45555,23.0133333333333,-54.9866666666667,-52.1866666666667,-24.5466666666667,5.04,-60.1733333333333
"237","Massachusetts",2020-04-15,16,15059,42624,57683,21.8378378378378,-52.527027027027,-46.6351351351351,-22.1486486486486,19.7162162162162,-56.9189189189189
"238","Massachusetts",2020-04-22,17,15134,54754,69888,22.1891891891892,-52.1621621621622,-46.9054054054054,-24.3648648648649,2.44594594594595,-58.1621621621622
"239","Massachusetts",2020-04-29,18,11969,66880,78849,19.3380281690141,-49.7323943661972,-39.9577464788732,-16.7746478873239,43.9014084507042,-50.4366197183099
"240","Massachusetts",2020-05-06,19,9061,59086,68147,18.5194805194805,-45.9480519480519,-37.8441558441558,-12.0649350649351,30.9090909090909,-48.2077922077922
"241","Massachusetts",2020-05-13,20,8593,66851,75444,20.65,-51.4,-34.2,-13.15,53.75,-47.2
"242","Michigan",2020-02-26,9,25,0,25,0.527777777777778,-0.731481481481482,6.06481481481481,0.25,13.3518518518519,5.87962962962963
"243","Michigan",2020-03-04,10,324,39,363,-0.774509803921569,2.27450980392157,10.9705882352941,3.81372549019608,45.421568627451,8.67647058823529
"244","Michigan",2020-03-11,11,2035,587,2622,2.75238095238095,-4.04761904761905,-2.07619047619048,16.6571428571429,36.0095238095238,-1.37142857142857
