"","state","population","median.age","Black.perc","Hispanic.or.Latino.perc","area","HS_perc","college_perc","Associate_perc","Bachelor_perc","Gradprof_perc","HS_orhigher_perc","Bachelor_orhigher_perc","poverty_perc","Age_gp1","Age_gp2","Age_gp3","Age_gp4","density","q_popdensity","q_poverty","State_abbrev","stateFIPS","mean_winter_temp","mean_summer_temp","mean_winter_rm","mean_summer_rm","winter_tmmx","summer_tmmx","beds","smoke_perc","obese_perc","inactive_perc","diabetes_perc","bed_rate"
"17","Kentucky",4440204,38.7,8,3.6,40408,"33","20.9","8.1","13.8","9.8","85.7","23.6",17.9,0.254395744,0.323351585,0.266514557,0.155738115,109.884280340527,3,3,"KY",21,280.56413366606,303.169191146262,87.5865804445673,94.1648898655647,45.345440598908,86.0345440632716,18497,0.352396694214876,0.223101089933884,0.316570247933884,0.137223140495868,416.579958938824
"18","Louisiana",4663616,36.6,32.2,5,52378,"34","21.1","6","15.5","8.2","84.8","23.7",19.4,0.262960973,0.33780976,0.254125769,0.145103499,89.0376875787544,3,3,"LA",22,289.651385627761,306.587064416159,88.6351520574065,95.9783768473045,61.7024941299698,92.1867159490863,18413,0.372953846153846,0.218122758753846,0.310415384615385,0.144969230769231,394.822386748823
"19","Maine",1332813,44.6,1.3,1.6,35380,"31.8","19.6","10","19.6","11.3","92.3","30.9",12.5,0.215756449,0.289549997,0.300235667,0.194457887,37.6713680045223,2,2,"ME",23,272.128887644323,297.17304590197,85.5719999724381,90.9419958420087,30.1619977597815,75.241482623546,4470,0.307764705882353,0.161921808058824,0.226176470588235,0.103352941176471,335.380882389352
"20","Maryland",6003435,38.6,29.8,9.8,12406,"24.8","18.9","6.6","21.3","18.3","90","39.6",9.4,0.249728697,0.33042733,0.274037947,0.145806026,483.913832016766,5,1,"MD",24,280.139810885218,302.662470007582,82.2878795311083,91.4768611369243,44.5816595933925,85.1224460136476,13557,0.33376,0.14397637012,0.25152,0.11756,225.820717639152
"21","Massachusetts",6830193,39.4,7.5,11.6,10554,"24.2","15.6","7.7","23.8","19.1","90.4","42.9",10.8,0.232630176,0.335398575,0.274109824,0.157861425,647.166287663445,5,1,"MA",25,276.309010970888,299.065042612585,83.9841561173413,90.8127536236731,37.6862197475984,78.647076702653,20882,0.253,0.1329659638,0.210333333333333,0.0903333333333333,305.730745822263
"22","Michigan",9957488,39.7,13.8,5,96714,"29","23.5","9.4","17.4","11.2","90.5","28.6",15,0.247866128,0.314667515,0.274679919,0.162786438,102.95808259404,3,3,"MI",26,272.581620878012,299.270448756063,93.6291918070882,92.2216132052007,30.9769175804217,79.0168077609134,26632,0.334119047619048,0.17586927252381,0.24702380952381,0.121428571428571,267.457013254749
"23","Minnesota",5527358,37.9,6.2,5.3,86936,"24.9","21.2","11.4","23.3","12.1","93","35.4",10.1,0.259375637,0.32573356,0.264708383,0.15018242,63.5796217907426,2,1,"MN",27,268.973728259317,299.736227136463,91.3877796083429,90.3914298600621,24.4827108667706,79.8552088456335,15778,0.315511363636364,0.149785084340909,0.243613636363636,0.0994431818181818,285.452832980965
"24","Mississippi",2988762,37.2,37.7,3,48432,"30.3","22.4","9.4","13.5","8.3","83.9","21.8",20.8,0.270810791,0.325129937,0.253669914,0.150389359,61.7104806739346,2,3,"MS",28,287.469510909499,306.241437332048,88.7669029872655,96.08720874751,57.7751196370982,91.5645871976864,15020,0.382168674698795,0.203649843855422,0.338433734939759,0.159831325301205,502.549216029915
"25","Missouri",6090062,38.5,11.6,4.1,69707,"30.7","22.4","7.8","17.7","10.9","89.6","28.6",14.2,0.253522706,0.322459607,0.262821955,0.161195732,87.366577244753,3,2,"MO",29,279.02509802301,303.97793923695,86.8192286108456,90.4170885966652,42.575176441418,87.4902906265101,24026,0.331775862068966,0.204628514017241,0.29273275862069,0.130775862068966,394.511582969106
"26","Montana",1041732,39.8,0.4,3.7,147040,"29.2","23.8","9","20.8","10.4","93.2","31.2",13.7,0.243853506,0.313231234,0.266456248,0.176459012,7.08468443960827,1,2,"MT",30,273.791773474925,299.183872070278,87.0537813489489,77.2535274930939,33.155192254865,78.8609697265005,4126,0.291982456140351,0.16874070545614,0.249421052631579,0.0945964912280702,396.071158416944
